time	type	subtype	content
0.000	info	experiment_name	Meg\3x3_field_drifting_value_bandit
0.000	info	task_name	Meg\3x3_field_drifting_value_bandit
0.000	info	task_file_hash	2651649461
0.000	info	setup_id	Bottom_small_maze_1
0.000	info	framework_version	2.0.1
0.000	info	micropython_version	1.222
0.000	info	subject_id	MY_72_L
0.000	info	start_time	2026-03-30T11:00:49.363
0.000	variable	run_start	{"num_t_found": 0, "no_rew_cue_dur": 500.0, "p_ud": 0.125, "min_hold": 2, "ses_length": 60, "curr_poke": null, "t_ses_start": 8, "arm_to_stream": {"C1": 0, "A1": 1}, "long_pokes": [], "poke_hold_dur": 200.0, "found_ports": true, "curr_rew_mag": {"B1": 0, "A1": 1, "C1": 4}, "num_blocks": 1, "num_problem": 10, "tot_num_blocks": 12, "ITI_dur": 1000.0, "rank_counts": {"best": 0, "second": 0, "third": 0}, "min_block_len": 30, "rew_mags": [1, 2, 3, 4], "init_cue_dur": 500.0, "hw_solenoid_calibration": {"B1": {"i": 47.95, "s": 1.22}, "A1": {"i": 47.61, "s": 1.26}, "A2": {"i": 47.52, "s": 1.27}, "A3": {"i": 49.11, "s": 1.1}, "C1": {"i": 46.6, "s": 1.37}, "C2": {"i": 39.05, "s": 2.15}, "C3": {"i": 40.2, "s": 2.04}, "B3": {"i": 38.45, "s": 2.22}, "B2": {"i": 2.33, "s": 8.12}}, "stream_state": [3, 0], "pulse_isi": 300.0, "base_choice_vol": 2, "found_t_thresh": 4, "problems": {"6": ["C2", "A1", "A3"], "7": ["C3", "A3", "B3"], "8": ["B3", "A2", "C1"], "9": ["B3", "C2", "B1"], "10": ["A1", "B1", "C1"], "5": ["A1", "C1", "C3"]}, "inactive_arm": "B1", "num_t": 0, "max_block_len": 35, "num_t_in_block": 9, "num_long_pokes": 0, "pulses_deliv": 0, "curr_block_len": 31, "found_port_counts": null, "stream_hold": [1, 1], "change_chosen": true, "p_bi": 0.9, "num_rew_pulses": null, "tot_rew_amt": 0}
0.001	state		wait_init
0.006	event	sync	rsync
5.830	event	input	B2_in
5.838	state		wait_choice
5.942	event	input	B2_out
6.140	event	input	B2_in
6.143	state		hold_poke
6.338	event	timer	init_cue_timer
6.343	event	timer	poke_hold_timer
6.343	state		poked_in
6.348	state		wait_choice
6.375	event	input	B2_out
7.099	event	input	B1_in
7.102	state		hold_poke
7.213	event	input	B1_out
7.216	state		wait_choice
7.226	event	input	B1_in
7.229	state		hold_poke
7.269	event	input	B1_out
7.272	state		wait_choice
7.342	event	input	B1_in
7.345	state		hold_poke
7.545	event	timer	poke_hold_timer
7.545	state		poked_in
7.546	variable	print	{"num_t": 1, "num_t_in_block": 10, "num_blocks": 1, "curr_block_len": 31, "chosen_tow": "B1", "chosen_rank": "third", "num_long_pokes": 1, "long_pokes": ["B2"], "stream_state": [3, 0], "stream_hold": [1, 1], "inactive_arm": "B1", "arm_to_stream": {"C1": 0, "A1": 1}, "num_rew_pulses": 0, "curr_rew_mag": {"B1": 0, "A1": 1, "C1": 4}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 1, "A1": 0, "C1": 0}, "rank_counts": {"best": 0, "second": 0, "third": 1}, "tot_rew_amt": 0}
7.555	state		ITI
7.598	event	input	B1_out
7.629	event	input	B1_in
7.657	event	input	B1_out
8.050	event	timer	no_rew_cue_timer
8.105	event	sync	rsync
8.305	event	input	A1_in
8.555	state		wait_init
8.611	event	input	A1_out
8.945	event	sync	rsync
9.442	event	input	B2_in
9.451	state		wait_choice
9.492	event	input	B2_out
9.950	event	timer	init_cue_timer
11.240	event	input	B1_in
11.243	state		hold_poke
11.366	event	input	B1_out
11.369	state		wait_choice
11.396	event	input	B1_in
11.399	state		hold_poke
11.599	event	timer	poke_hold_timer
11.599	state		poked_in
11.600	variable	print	{"num_t": 2, "num_t_in_block": 11, "num_blocks": 1, "curr_block_len": 31, "chosen_tow": "B1", "chosen_rank": "third", "num_long_pokes": 0, "long_pokes": [], "stream_state": [3, 0], "stream_hold": [1, 1], "inactive_arm": "B1", "arm_to_stream": {"C1": 0, "A1": 1}, "num_rew_pulses": 0, "curr_rew_mag": {"B1": 0, "A1": 1, "C1": 4}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 2, "A1": 0, "C1": 0}, "rank_counts": {"best": 0, "second": 0, "third": 2}, "tot_rew_amt": 0}
11.609	state		ITI
11.713	event	input	B1_out
12.104	event	timer	no_rew_cue_timer
12.609	state		wait_init
12.815	event	input	A1_in
13.234	event	input	A1_out
13.289	event	input	A1_in
13.296	event	input	A1_out
14.213	event	input	B2_in
14.221	state		wait_choice
14.254	event	sync	rsync
14.277	event	input	B2_out
14.721	event	timer	init_cue_timer
15.368	event	input	C1_in
15.371	state		hold_poke
15.548	event	input	C1_out
15.551	state		wait_choice
15.588	event	input	C1_in
15.592	state		hold_poke
15.791	event	timer	poke_hold_timer
15.791	state		poked_in
15.792	variable	print	{"num_t": 3, "num_t_in_block": 12, "num_blocks": 1, "curr_block_len": 31, "chosen_tow": "C1", "chosen_rank": "best", "num_long_pokes": 0, "long_pokes": [], "stream_state": [3, 0], "stream_hold": [1, 1], "inactive_arm": "B1", "arm_to_stream": {"C1": 0, "A1": 1}, "num_rew_pulses": 4, "curr_rew_mag": {"B1": 0, "A1": 1, "C1": 4}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 2, "A1": 0, "C1": 1}, "rank_counts": {"best": 1, "second": 0, "third": 2}, "tot_rew_amt": 8}
15.798	state		choice
16.100	event	timer	pulse_off_timer
16.153	event	timer	pulse_on_timer
16.457	event	timer	pulse_off_timer
16.510	event	timer	pulse_on_timer
16.528	event	sync	rsync
16.814	event	timer	pulse_off_timer
16.867	event	timer	pulse_on_timer
17.171	event	timer	pulse_off_timer
17.224	event	timer	pulse_on_timer
17.228	state		ITI
18.229	state		wait_init
19.098	event	input	C1_out
20.600	event	input	B2_in
20.608	state		wait_choice
20.629	event	input	B2_out
21.108	event	timer	init_cue_timer
21.547	event	sync	rsync
22.198	event	input	C1_in
22.201	state		hold_poke
22.401	event	timer	poke_hold_timer
22.401	state		poked_in
22.402	variable	print	{"num_t": 4, "num_t_in_block": 13, "num_blocks": 1, "curr_block_len": 31, "chosen_tow": "C1", "chosen_rank": "best", "num_long_pokes": 0, "long_pokes": [], "stream_state": [3, 0], "stream_hold": [1, 1], "inactive_arm": "B1", "arm_to_stream": {"C1": 0, "A1": 1}, "num_rew_pulses": 4, "curr_rew_mag": {"B1": 0, "A1": 1, "C1": 4}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 2, "A1": 0, "C1": 2}, "rank_counts": {"best": 2, "second": 0, "third": 2}, "tot_rew_amt": 16}
22.408	state		choice
22.710	event	timer	pulse_off_timer
22.763	event	timer	pulse_on_timer
22.801	event	sync	rsync
23.067	event	timer	pulse_off_timer
23.120	event	timer	pulse_on_timer
23.424	event	timer	pulse_off_timer
23.477	event	timer	pulse_on_timer
23.781	event	timer	pulse_off_timer
23.834	event	timer	pulse_on_timer
23.838	state		ITI
24.839	state		wait_init
26.769	event	input	C1_out
28.518	event	input	B2_in
28.526	state		wait_choice
28.555	event	input	B2_out
29.026	event	timer	init_cue_timer
29.176	event	sync	rsync
29.702	event	input	C1_in
29.706	state		hold_poke
29.905	event	timer	poke_hold_timer
29.905	state		poked_in
29.906	variable	print	{"num_t": 5, "num_t_in_block": 14, "num_blocks": 1, "curr_block_len": 31, "chosen_tow": "C1", "chosen_rank": "best", "num_long_pokes": 0, "long_pokes": [], "stream_state": [3, 0], "stream_hold": [1, 1], "inactive_arm": "B1", "arm_to_stream": {"C1": 0, "A1": 1}, "num_rew_pulses": 4, "curr_rew_mag": {"B1": 0, "A1": 1, "C1": 4}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 2, "A1": 0, "C1": 3}, "rank_counts": {"best": 3, "second": 0, "third": 2}, "tot_rew_amt": 24}
29.912	state		choice
30.214	event	timer	pulse_off_timer
30.267	event	timer	pulse_on_timer
30.571	event	timer	pulse_off_timer
30.624	event	timer	pulse_on_timer
30.928	event	timer	pulse_off_timer
30.981	event	timer	pulse_on_timer
31.285	event	timer	pulse_off_timer
31.338	event	timer	pulse_on_timer
31.342	state		ITI
32.343	state		wait_init
33.755	event	sync	rsync
34.945	event	input	C1_out
36.960	event	input	B2_in
36.974	state		wait_choice
37.030	event	input	B2_out
37.473	event	timer	init_cue_timer
37.866	event	sync	rsync
38.044	event	input	C1_in
38.048	state		hold_poke
38.247	event	timer	poke_hold_timer
38.247	state		poked_in
38.248	variable	print	{"num_t": 6, "num_t_in_block": 15, "num_blocks": 1, "curr_block_len": 31, "chosen_tow": "C1", "chosen_rank": "best", "num_long_pokes": 0, "long_pokes": [], "stream_state": [3, 0], "stream_hold": [1, 1], "inactive_arm": "B1", "arm_to_stream": {"C1": 0, "A1": 1}, "num_rew_pulses": 4, "curr_rew_mag": {"B1": 0, "A1": 1, "C1": 4}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 2, "A1": 0, "C1": 4}, "rank_counts": {"best": 4, "second": 0, "third": 2}, "tot_rew_amt": 32}
38.254	state		choice
38.556	event	timer	pulse_off_timer
38.609	event	timer	pulse_on_timer
38.913	event	timer	pulse_off_timer
38.966	event	timer	pulse_on_timer
39.270	event	timer	pulse_off_timer
39.323	event	timer	pulse_on_timer
39.627	event	timer	pulse_off_timer
39.680	event	timer	pulse_on_timer
39.685	state		ITI
40.685	state		wait_init
42.258	event	input	C1_out
43.681	event	input	B2_in
43.690	state		wait_choice
43.704	event	input	B2_out
44.189	event	timer	init_cue_timer
44.412	event	sync	rsync
44.725	event	input	C1_in
44.728	state		hold_poke
44.928	event	timer	poke_hold_timer
44.928	state		poked_in
44.929	variable	print	{"num_t": 7, "num_t_in_block": 16, "num_blocks": 1, "curr_block_len": 31, "chosen_tow": "C1", "chosen_rank": "best", "num_long_pokes": 0, "long_pokes": [], "stream_state": [3, 0], "stream_hold": [1, 1], "inactive_arm": "B1", "arm_to_stream": {"C1": 0, "A1": 1}, "num_rew_pulses": 4, "curr_rew_mag": {"B1": 0, "A1": 1, "C1": 4}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 2, "A1": 0, "C1": 5}, "rank_counts": {"best": 5, "second": 0, "third": 2}, "tot_rew_amt": 40}
44.935	state		choice
45.154	event	sync	rsync
45.237	event	timer	pulse_off_timer
45.290	event	timer	pulse_on_timer
45.594	event	timer	pulse_off_timer
45.647	event	timer	pulse_on_timer
45.951	event	timer	pulse_off_timer
46.004	event	timer	pulse_on_timer
46.308	event	timer	pulse_off_timer
46.361	event	timer	pulse_on_timer
46.366	state		ITI
47.366	state		wait_init
48.172	event	sync	rsync
49.051	event	input	C1_out
50.296	event	input	B2_in
50.304	state		wait_choice
50.324	event	input	B2_out
50.804	event	timer	init_cue_timer
51.298	event	input	C1_in
51.301	state		hold_poke
51.501	event	timer	poke_hold_timer
51.501	state		poked_in
51.502	variable	print	{"num_t": 8, "num_t_in_block": 17, "num_blocks": 1, "curr_block_len": 31, "chosen_tow": "C1", "chosen_rank": "best", "num_long_pokes": 0, "long_pokes": [], "stream_state": [3, 0], "stream_hold": [1, 1], "inactive_arm": "B1", "arm_to_stream": {"C1": 0, "A1": 1}, "num_rew_pulses": 4, "curr_rew_mag": {"B1": 0, "A1": 1, "C1": 4}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 2, "A1": 0, "C1": 6}, "rank_counts": {"best": 6, "second": 0, "third": 2}, "tot_rew_amt": 48}
51.509	state		choice
51.811	event	timer	pulse_off_timer
51.864	event	timer	pulse_on_timer
52.168	event	timer	pulse_off_timer
52.221	event	timer	pulse_on_timer
52.525	event	timer	pulse_off_timer
52.578	event	timer	pulse_on_timer
52.882	event	timer	pulse_off_timer
52.935	event	timer	pulse_on_timer
52.939	state		ITI
53.940	state		wait_init
54.965	event	sync	rsync
55.833	event	input	C1_out
57.142	event	input	B2_in
57.156	state		wait_choice
57.168	event	input	B2_out
57.655	event	timer	init_cue_timer
58.150	event	input	C1_in
58.153	state		hold_poke
58.353	event	timer	poke_hold_timer
58.353	state		poked_in
58.354	variable	print	{"num_t": 9, "num_t_in_block": 18, "num_blocks": 1, "curr_block_len": 31, "chosen_tow": "C1", "chosen_rank": "best", "num_long_pokes": 0, "long_pokes": [], "stream_state": [3, 0], "stream_hold": [2, 2], "inactive_arm": "B1", "arm_to_stream": {"C1": 0, "A1": 1}, "num_rew_pulses": 4, "curr_rew_mag": {"B1": 0, "A1": 1, "C1": 4}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 2, "A1": 0, "C1": 7}, "rank_counts": {"best": 7, "second": 0, "third": 2}, "tot_rew_amt": 56}
58.361	state		choice
58.663	event	timer	pulse_off_timer
58.716	event	timer	pulse_on_timer
59.020	event	timer	pulse_off_timer
59.073	event	timer	pulse_on_timer
59.377	event	timer	pulse_off_timer
59.430	event	timer	pulse_on_timer
59.734	event	timer	pulse_off_timer
59.787	event	timer	pulse_on_timer
59.791	state		ITI
60.792	state		wait_init
61.166	event	sync	rsync
62.396	event	input	C1_out
63.854	event	input	B2_in
63.862	state		wait_choice
63.870	event	input	B2_out
64.362	event	timer	init_cue_timer
64.961	event	input	C1_in
64.964	state		hold_poke
65.164	event	timer	poke_hold_timer
65.164	state		poked_in
65.165	variable	print	{"num_t": 10, "num_t_in_block": 19, "num_blocks": 1, "curr_block_len": 31, "chosen_tow": "C1", "chosen_rank": "best", "num_long_pokes": 0, "long_pokes": [], "stream_state": [3, 0], "stream_hold": [3, 3], "inactive_arm": "B1", "arm_to_stream": {"C1": 0, "A1": 1}, "num_rew_pulses": 4, "curr_rew_mag": {"B1": 0, "A1": 1, "C1": 4}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 2, "A1": 0, "C1": 8}, "rank_counts": {"best": 8, "second": 0, "third": 2}, "tot_rew_amt": 64}
65.172	state		choice
65.474	event	timer	pulse_off_timer
65.527	event	timer	pulse_on_timer
65.831	event	timer	pulse_off_timer
65.884	event	timer	pulse_on_timer
66.188	event	timer	pulse_off_timer
66.241	event	timer	pulse_on_timer
66.545	event	timer	pulse_off_timer
66.598	event	timer	pulse_on_timer
66.603	state		ITI
66.764	event	sync	rsync
67.603	state		wait_init
69.138	event	input	C1_out
70.301	event	input	B2_in
70.310	state		wait_choice
70.322	event	input	B2_out
70.809	event	timer	init_cue_timer
71.256	event	input	C1_in
71.259	state		hold_poke
71.459	event	timer	poke_hold_timer
71.459	state		poked_in
71.460	variable	print	{"num_t": 11, "num_t_in_block": 20, "num_blocks": 1, "curr_block_len": 31, "chosen_tow": "C1", "chosen_rank": "best", "num_long_pokes": 0, "long_pokes": [], "stream_state": [3, 0], "stream_hold": [4, 4], "inactive_arm": "B1", "arm_to_stream": {"C1": 0, "A1": 1}, "num_rew_pulses": 4, "curr_rew_mag": {"B1": 0, "A1": 1, "C1": 4}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 2, "A1": 0, "C1": 9}, "rank_counts": {"best": 9, "second": 0, "third": 2}, "tot_rew_amt": 72}
71.467	state		choice
71.769	event	timer	pulse_off_timer
71.822	event	timer	pulse_on_timer
72.126	event	timer	pulse_off_timer
72.179	event	timer	pulse_on_timer
72.483	event	timer	pulse_off_timer
72.536	event	timer	pulse_on_timer
72.840	event	timer	pulse_off_timer
72.893	event	timer	pulse_on_timer
72.898	state		ITI
73.898	state		wait_init
75.161	event	sync	rsync
76.028	event	input	C1_out
76.498	event	sync	rsync
77.183	event	input	B2_in
77.197	state		wait_choice
77.218	event	input	B2_out
77.696	event	timer	init_cue_timer
78.157	event	input	C1_in
78.160	state		hold_poke
78.360	event	timer	poke_hold_timer
78.360	state		poked_in
78.361	variable	print	{"num_t": 12, "num_t_in_block": 21, "num_blocks": 1, "curr_block_len": 31, "chosen_tow": "C1", "chosen_rank": "best", "num_long_pokes": 0, "long_pokes": [], "stream_state": [3, 0], "stream_hold": [5, 5], "inactive_arm": "B1", "arm_to_stream": {"C1": 0, "A1": 1}, "num_rew_pulses": 4, "curr_rew_mag": {"B1": 0, "A1": 1, "C1": 4}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 2, "A1": 0, "C1": 10}, "rank_counts": {"best": 10, "second": 0, "third": 2}, "tot_rew_amt": 80}
78.368	state		choice
78.670	event	timer	pulse_off_timer
78.723	event	timer	pulse_on_timer
79.027	event	timer	pulse_off_timer
79.080	event	timer	pulse_on_timer
79.384	event	timer	pulse_off_timer
79.437	event	timer	pulse_on_timer
79.741	event	timer	pulse_off_timer
79.794	event	timer	pulse_on_timer
79.798	state		ITI
80.799	state		wait_init
82.955	event	input	C1_out
83.213	event	sync	rsync
85.352	event	input	B2_in
85.360	state		wait_choice
85.377	event	input	B2_out
85.426	event	sync	rsync
85.860	event	timer	init_cue_timer
89.085	event	input	C1_in
89.088	state		hold_poke
89.288	event	timer	poke_hold_timer
89.288	state		poked_in
89.289	variable	print	{"num_t": 13, "num_t_in_block": 22, "num_blocks": 1, "curr_block_len": 31, "chosen_tow": "C1", "chosen_rank": "best", "num_long_pokes": 0, "long_pokes": [], "stream_state": [3, 0], "stream_hold": [6, 6], "inactive_arm": "B1", "arm_to_stream": {"C1": 0, "A1": 1}, "num_rew_pulses": 4, "curr_rew_mag": {"B1": 0, "A1": 1, "C1": 4}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 2, "A1": 0, "C1": 11}, "rank_counts": {"best": 11, "second": 0, "third": 2}, "tot_rew_amt": 88}
89.296	state		choice
89.598	event	timer	pulse_off_timer
89.624	event	sync	rsync
89.651	event	timer	pulse_on_timer
89.955	event	timer	pulse_off_timer
90.008	event	timer	pulse_on_timer
90.312	event	timer	pulse_off_timer
90.365	event	timer	pulse_on_timer
90.669	event	timer	pulse_off_timer
90.722	event	timer	pulse_on_timer
90.726	state		ITI
91.727	state		wait_init
93.520	event	input	C1_out
96.601	event	sync	rsync
96.844	event	input	B2_in
96.852	state		wait_choice
96.871	event	input	B2_out
96.901	event	input	B2_in
96.904	state		hold_poke
96.915	event	input	B2_out
96.918	state		wait_choice
97.352	event	timer	init_cue_timer
98.011	event	input	C1_in
98.015	state		hold_poke
98.214	event	timer	poke_hold_timer
98.214	state		poked_in
98.215	variable	print	{"num_t": 14, "num_t_in_block": 23, "num_blocks": 1, "curr_block_len": 31, "chosen_tow": "C1", "chosen_rank": "best", "num_long_pokes": 0, "long_pokes": [], "stream_state": [3, 0], "stream_hold": [7, 7], "inactive_arm": "B1", "arm_to_stream": {"C1": 0, "A1": 1}, "num_rew_pulses": 4, "curr_rew_mag": {"B1": 0, "A1": 1, "C1": 4}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 2, "A1": 0, "C1": 12}, "rank_counts": {"best": 12, "second": 0, "third": 2}, "tot_rew_amt": 96}
98.222	state		choice
98.524	event	timer	pulse_off_timer
98.577	event	timer	pulse_on_timer
98.881	event	timer	pulse_off_timer
98.934	event	timer	pulse_on_timer
99.238	event	timer	pulse_off_timer
99.291	event	timer	pulse_on_timer
99.595	event	timer	pulse_off_timer
99.648	event	timer	pulse_on_timer
99.652	state		ITI
100.653	state		wait_init
102.538	event	input	C1_out
103.775	event	input	B2_in
103.784	state		wait_choice
103.804	event	input	B2_out
104.283	event	timer	init_cue_timer
105.148	event	input	C1_in
105.151	state		hold_poke
105.351	event	timer	poke_hold_timer
105.351	state		poked_in
105.352	variable	print	{"num_t": 15, "num_t_in_block": 24, "num_blocks": 1, "curr_block_len": 31, "chosen_tow": "C1", "chosen_rank": "best", "num_long_pokes": 0, "long_pokes": [], "stream_state": [3, 0], "stream_hold": [8, 8], "inactive_arm": "B1", "arm_to_stream": {"C1": 0, "A1": 1}, "num_rew_pulses": 4, "curr_rew_mag": {"B1": 0, "A1": 1, "C1": 4}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 2, "A1": 0, "C1": 13}, "rank_counts": {"best": 13, "second": 0, "third": 2}, "tot_rew_amt": 104}
105.359	state		choice
105.661	event	timer	pulse_off_timer
105.714	event	timer	pulse_on_timer
106.018	event	timer	pulse_off_timer
106.032	event	sync	rsync
106.071	event	timer	pulse_on_timer
106.375	event	timer	pulse_off_timer
106.428	event	timer	pulse_on_timer
106.732	event	timer	pulse_off_timer
106.785	event	timer	pulse_on_timer
106.789	state		ITI
107.790	state		wait_init
109.997	event	input	C1_out
111.159	event	input	B2_in
111.167	state		wait_choice
111.193	event	input	B2_out
111.667	event	timer	init_cue_timer
112.096	event	sync	rsync
112.199	event	input	C1_in
112.203	state		hold_poke
112.402	event	timer	poke_hold_timer
112.402	state		poked_in
